academic_year,time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,total_type,school_phase,estimated_course_starts_by_pupils,total_schools,total_schools_participating,percentage_schools_participating
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total in academic year,All,4085,125,49,39.2
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Total in academic year,All,1014,151,43,28.5
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Total in academic year,All,835,83,29,34.9
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Total in academic year,All,4098,402,106,26.4
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Total in academic year,All,1597,90,37,41.1
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Total in academic year,All,951,74,25,33.8
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Total in academic year,All,2613,114,43,37.7
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total in academic year,All,3262,244,84,34.4
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Total in academic year,All,3578,103,37,35.9
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Total in academic year,All,2623,244,74,30.3
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total in academic year,All,1919,91,28,30.8
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Total in academic year,All,3223,202,70,34.7
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Total in academic year,All,1057,100,27,27
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Total in academic year,All,4104,128,61,47.7
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Total in academic year,All,1506,145,39,26.9
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Total in academic year,All,2031,97,36,37.1
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Total in academic year,All,2503,180,42,23.3
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Total in academic year,All,6226,279,111,39.8
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Total in academic year,All,1306,61,22,36.1
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Total in academic year,All,1441,80,30,37.5
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Total in academic year,All,2697,356,111,31.2
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Total in academic year,All,1476,120,42,35
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Total in academic year,All,3490,177,69,39
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Total in academic year,All,2677,138,41,29.7
202324,2023,October,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Total in academic year,All,524,62,12,19.4
